         SN     survey          z            chisq     dof          DayMax   RestFrameMag_0_B                  X0                  X1                Color                 Skew     DayMax_coverr        DayMax_err   RestFrameMag_0_B_coverr   RestFrameMag_0_B_err           X0_coverr              X0_err           X1_coverr              X1_err         Skew_coverr            Skew_err      Color_coverr         Color_err          CovDayMaxX0   CovDayMaxRestFrameMag_0_B          CovDayMaxX1        CovDayMaxSkew       CovDayMaxColor              CovX0X1            CovX0Skew           CovX0Color   CovRestFrameMag_0_BX1   CovRestFrameMag_0_BSkew   CovRestFrameMag_0_BColor            CovX1Skew           CovX1Color         CovSkewColor  
       5736       SDSS    0.25174    61.5274188819    77.0   53665.7448295        21.39676983   4.93048913342e-05     -0.197931296868    -0.00917718835936      -0.198272361484    0.817152059897    0.807272426136           0.0440357194722        0.0437691773973   2.05600051206e-06   2.04217330587e-06      0.459728542382      0.453785686434       1.01116848816      0.978201977207   0.0363666034818   0.0360359734919   -8.88400631454e-07             0.0179963919953       -0.24123625525       0.759462159376     0.00627368310112    8.38989153619e-08    -1.2005478554e-06   -5.42103645509e-08       -0.00153262646303           0.0241888526045           0.00117635186325      -0.237067176487   -0.000554323238154     0.00934570207477  
      14108       SDSS    0.13243    78.5393351538    81.0   54009.1662562      20.1277408599   0.000158698413228      0.811632542114     -0.0143228551103      -0.839448479432    0.384239566342    0.381845800803           0.0298331451199        0.0297420150389   4.36414214441e-06   4.35655097373e-06      0.240381974519      0.238213111251      0.371601926735      0.368300961196   0.0251002162494   0.0248180640429   -1.76308459782e-07            0.00100579436987     -0.0613114680082       0.121585405614     0.00142733206073   -1.96637919893e-08   -2.12906265761e-07   -8.69580731474e-08       0.000168600864139          0.00119962250728          0.000594485683696      -0.048514578417   -0.000627392688244     0.00152408632768  
      19174       SDSS    0.16357    84.3962894053    60.0   54394.1672125      20.5136949669   0.000111551906703      -0.32777266255      0.0550314406194       -1.60791382231    0.575497333265    0.551535692459           0.0372259748252        0.0369849079653   3.84324758543e-06   3.82747820154e-06      0.417904323934      0.409760388477      0.711845372527      0.689878685477   0.0324141775836   0.0321694596678   -1.06613890653e-08          -0.000485513899618      -0.186429188904       0.373968571928     0.00225558688944   -2.94731392698e-07   -3.10427771134e-07   -9.21561223796e-08        0.00307194528237          0.00215361523061          0.000889343282321      -0.191667600433   -0.000344061436687      0.0035460063152  
      19990       SDSS    0.24495    26.2614989918    45.0   54402.8230113       21.369891891   5.07519150014e-05     -0.924442445127     -0.0817206374365       -1.78756977254    0.797449237253    0.722788190411           0.0529660504505        0.0518751104065   2.47239520127e-06   2.41800447752e-06       0.64440216492      0.623597745139      0.856656013203      0.751282028824   0.0471474493644   0.0467042203523   -5.37421076913e-07             0.0105791074055      -0.349157787861        0.60263209574    -0.00112350951201    -3.5986970496e-07   -8.82296931561e-07    -7.7221098556e-08        0.00804381643048            0.017621232954           0.00167785704597      -0.264302164054     0.00781052004901     0.00363217513007  
      17274       SDSS    0.17658    29.6086468184    23.0   54353.8197031      20.4635336742    0.00012263976349       1.82625980352      -0.130633405399       -28890.8849095     2.09057516607     1.68153779357             10.5565030117          11.0290237286   1.69155698344e-05   1.32528419085e-05      0.533182129656      0.524278324942   4.30249136942e+16   1.34355723151e+13   0.0708270422456   0.0703976857203   -2.73825357656e-05              0.658385244349       -0.26621169605    1.15359353864e+14      0.0601297501099   -1.64935754401e-06       -3031165816.07   -8.59304412721e-07        -0.0648493089736        -3.37873519124e+16            0.0213526980294    7.11754021659e+13   -4.16285031381e-05    9.50712620404e+12  
      17801       SDSS    0.20515    43.6440761394    48.0   54363.9356575      21.0943414716   6.56299023987e-05     -0.266038802278     -0.0583641933495       -3.87649805698     1.10266712111     1.06846626985           0.0877252578879        0.0866529281039   5.43175351468e-06   5.37922833324e-06      0.586626458432      0.573715105602       2.35922686844       2.30341610718   0.0618180371833   0.0615319980711   -2.71052416321e-06             0.0413007006397      -0.307385276856         2.4023111291       0.029682699126    -1.0509504041e-06   -8.13083458506e-06    -2.6696300972e-07         0.0177374492834            0.125872201946           0.00431808812747      -0.368339354869     0.00310385046544      0.0811856012545  
      17875       SDSS    0.21075    45.4214471666    52.0   54362.5710808      21.0075685297   7.01939037014e-05       1.10339233625     -0.0289474088759         1.1937429393     1.48883557682     1.52608657067           0.0480072912398         0.048178990609   3.38540803488e-06   3.38258170697e-06      0.593599020599       0.58199601967       1.60987920891       1.60524259201   0.0454658040162   0.0451501334464   -3.04059079547e-06             0.0374738658956       -0.68260687487        2.26819881313      0.0342445223571    5.99536573757e-07   -3.59812702804e-06   -1.09928378519e-07       -0.00689400675324           0.0436376721537           0.00154760541644      -0.648279371988     -0.0121650083981      0.0368531625477  
      13610       SDSS    0.29678     40.337075026    69.0   53998.8820332      21.4256236881   4.76151548213e-05     -0.619220046399     -0.0663568384957        2.54690757515     1.97476733064     2.00433412276           0.0615474866713        0.0633193354067   3.68768565285e-06   3.69757111016e-06      0.794436064006      0.784532203604       2.34149610318       2.26439171106   0.0519784307852   0.0513551401047   -6.00272973783e-06             0.0874647477091       -1.08592634361        4.22695539654      0.0572624628834    1.12069376758e-06   -7.47080670372e-06   -1.34875531755e-07         -0.016165831871            0.107544947232           0.00225113256868      -0.973557646888     -0.0155252391018       0.068783737934  
      16093       SDSS    0.33436    38.1607009159    45.0   54041.1229736      21.8962987867   3.10262254331e-05       4.39850543445     -0.0423916418647       -1.58951499042     1.75968560316     1.50573277249           0.0707787781809        0.0708001179457   2.49554576163e-06   2.41547255805e-06       2.10117807995       1.81743656519       1.41428976915       1.21426174962   0.0601897356881   0.0595419936204     1.8395260527e-06            -0.0139742605692       -2.93007155042        2.21022037897     -0.0148561205339     -3.942894146e-06    5.81082347229e-07   -6.38243138691e-08         0.0541765222952           0.0116387308887           0.00155437426541       -1.72895626768      0.0361862326206    -0.00293579728546  
       2308       SDSS      0.148    67.0505055732    66.0   53629.9511991      19.5692624559    0.00026452138148      0.943870132115      -0.182282936811     -0.0704656771815    0.365989367552    0.361001977625           0.0281484246595        0.0280212576221   6.83302840287e-06   6.80940558119e-06      0.188238451158      0.186666204851      0.387300506113      0.376018635469   0.0223092005916   0.0222620625458   -6.82687940565e-07              0.002543663661     -0.0454967641346       0.125762993592    0.000245980888786   -4.98320176554e-09    -7.4667119038e-07   -1.11121181876e-07       6.95317686575e-05          0.00273161679922          0.000466413966012     -0.0374783002494   -0.000117917058759    0.000182293778386  
      17464       SDSS    0.24555    15.9496173287    35.0   54357.8060463      21.0613717126   6.83616899819e-05       0.20265825049      0.0156073055194       -10.7833249576     1.98594888171     2.09786999687             2.46373716062        0.0644845560048   3.87960757332e-06   3.84707636897e-06      0.748216464904      0.765246195841       120017.728262       224.641580894   0.0507075706962   0.0504527655136    -4.0806078473e-06               2.17235684342       -1.14691690049        616.864111541      0.0246433766309    5.16376531507e-07     -0.0102253257356   -1.39640261613e-07         -0.683823548924            -109693.936541           -0.0040024400837        921.987089291    -0.00472394407646        56.9768746853  
      13578       SDSS    0.22668    32.8361833761    45.0   54000.1657441      21.0999289174   6.44595278045e-05     -0.719948678152     -0.0187490950893         1.9227095272      1.2815014688     1.20226018531           0.0529591813476        0.0533433751531   3.83700494692e-06   3.61546545651e-06      0.518086333367      0.513345499983       1.76210707773       1.63299548363   0.0412688958366   0.0406710326401   -3.73019115926e-06             0.0442100340244      -0.433215983103        2.05568789345      0.0228840498106    5.82652403121e-07   -5.43803003725e-06   -1.14296389483e-07       -0.00655915743315           0.0645093788154           0.00161572605091      -0.441352694182    -0.00481281891178      0.0334100180542  
       5391       SDSS    0.30021    75.3471536272    81.0    53658.881888      21.6997267959   3.72201992399e-05      0.244771895278     -0.0312600226543       0.430011205043     1.38813738292     1.34812411816           0.0705233821098        0.0702029117411   2.50838743721e-06   2.47796897097e-06      0.922784462506      0.905100746293       1.37483948323       1.25896617157   0.0565487204098   0.0561175820867   -1.47797805595e-06             0.0369039163255      -0.736873174574        1.71972499358      0.0149328125953   -4.60206519228e-07   -1.95188874595e-06   -7.76005369627e-08         0.0146730379444           0.0491355719833           0.00219952187569      -0.500763023451   -0.000368131521251      0.0207535876668  
      21502       SDSS    0.08784    22.0155515128    20.0   54427.3360651      18.8181475473   0.000530326955704     -0.523025823305     -0.0462045267537       -0.26458683607    0.395042937001    0.391773707415           0.0335091676774        0.0331642005927   1.65583068592e-05   1.64160145659e-05        1.0573027786       1.05447502799      0.374505783439       0.36767315804   0.0256674880916   0.0255413757589    1.19743874117e-06            -0.0024319301476      -0.284040943425       0.137344700621   -0.000922995870078   -7.77821098758e-06    4.56454370314e-08   -3.33322591944e-07         0.0150138420941        -0.000182848423705           0.00067867716511      -0.200712544982     0.00741948920622   -0.000105353511611  
      15356       SDSS    0.27447    67.4309307777    56.0   54031.7523685      21.4923413241   4.48835136323e-05      -1.55694069653    -0.00496610340818        2.29525406407     1.90683629184     1.99537880095           0.0590047220213        0.0600211849817   3.20853281816e-06   3.13341102369e-06      0.806226604792      0.790191597397       2.27684601107       2.25900156219   0.0571421179779   0.0565672971375   -4.70263160124e-06             0.0731680899735       -1.06961244961        4.15331977038      0.0633005679851    1.00923752592e-06   -6.04286772994e-06   -1.36895613968e-07        -0.0154419309095            0.092484360028           0.00246736844735       -1.12673998794     -0.0172168363499      0.0788641745085  
       2635       SDSS     0.1431    77.1721421782    80.0   53639.4583544       19.782971338   0.000217460553232       1.17700295674     -0.0644895852645     -0.0117857991695     0.49045816972    0.485371766583           0.0294126708383        0.0292787113432   5.92175336025e-06   5.89476021987e-06      0.225858485925      0.223770552036       0.51853714357      0.508757000365   0.0243647402646   0.0242011416376   -9.71724345762e-07            0.00438656849547     -0.0782514608331       0.235643552851     0.00383314958237    1.79223888874e-07   -1.09000643484e-06   -1.16151926159e-07      -0.000785800105174          0.00488884643769          0.000577785037884     -0.0731107585223    -0.00139719628315     0.00412053718507  
